=== LOG DLA 30 FLOWS ===

===== RUN 0 =====
FLOW 24 CSPF: 11 -> 7 -> 8 -> 12 | ACCEPTED
FLOW 24 WEIGHTED: 11 -> 9 -> 12 | ACCEPTED
FLOW 25 IP: 7 -> 11 -> 6 -> 2 -> 10 | ACCEPTED
FLOW 25 CSPF: 7 -> 11 -> 6 -> 2 -> 10 | ACCEPTED
FLOW 25 WEIGHTED: NONE | REJECTED
FLOW 26 IP: 12 -> 2 | ACCEPTED
FLOW 26 CSPF: 12 -> 2 | ACCEPTED
FLOW 26 WEIGHTED: 12 -> 2 | ACCEPTED
FLOW 27 IP: 6 -> 4 -> 0 -> 5 | ACCEPTED
FLOW 27 CSPF: 6 -> 4 -> 0 -> 5 | ACCEPTED
FLOW 27 WEIGHTED: 6 -> 4 -> 0 -> 5 | ACCEPTED
FLOW 28 IP: 0 -> 8 -> 7 | ACCEPTED
FLOW 28 CSPF: 0 -> 8 -> 7 | ACCEPTED
FLOW 28 WEIGHTED: 0 -> 8 -> 7 | ACCEPTED
FLOW 29 IP: 11 -> 13 | ACCEPTED
FLOW 29 CSPF: 11 -> 13 | ACCEPTED
FLOW 29 WEIGHTED: 11 -> 13 | ACCEPTED

===== RUN 2 =====
FLOW 0 IP: 13 -> 0 | ACCEPTED
FLOW 0 CSPF: 13 -> 0 | ACCEPTED
FLOW 0 WEIGHTED: 13 -> 0 | ACCEPTED
FLOW 1 IP: 5 -> 0 -> 13 | ACCEPTED
FLOW 1 CSPF: 5 -> 0 -> 13 | ACCEPTED
FLOW 1 WEIGHTED: 5 -> 0 -> 13 | ACCEPTED
FLOW 2 IP: 12 -> 2 -> 10 | ACCEPTED
FLOW 2 CSPF: 12 -> 2 -> 10 | ACCEPTED
FLOW 2 WEIGHTED: 12 -> 2 -> 10 | ACCEPTED
FLOW 3 IP: 9 -> 11 -> 3 | ACCEPTED
FLOW 3 CSPF: 9 -> 11 -> 3 | ACCEPTED
FLOW 3 WEIGHTED: 9 -> 11 -> 3 | ACCEPTED
FLOW 4 IP: 9 -> 11 -> 6 -> 2 -> 10 | ACCEPTED
FLOW 4 CSPF: 9 -> 11 -> 6 -> 2 -> 10 | ACCEPTED
FLOW 4 WEIGHTED: 9 -> 11 -> 6 -> 2 -> 10 | ACCEPTED
FLOW 5 IP: 10 -> 2 -> 6 | ACCEPTED
FLOW 5 CSPF: 10 -> 2 -> 6 | ACCEPTED
FLOW 5 WEIGHTED: 10 -> 4 -> 6 | ACCEPTED
FLOW 6 IP: 5 -> 0 -> 8 | ACCEPTED
FLOW 6 CSPF: 5 -> 0 -> 8 | ACCEPTED
FLOW 6 WEIGHTED: 5 -> 0 -> 8 | ACCEPTED
FLOW 7 IP: 4 -> 14 | ACCEPTED
FLOW 7 CSPF: 4 -> 14 | ACCEPTED
FLOW 7 WEIGHTED: 4 -> 14 | ACCEPTED
FLOW 8 IP: 0 -> 5 | ACCEPTED
FLOW 8 CSPF: 0 -> 5 | ACCEPTED
FLOW 8 WEIGHTED: 0 -> 5 | ACCEPTED
FLOW 9 IP: 5 -> 0 -> 4 -> 14 | ACCEPTED
FLOW 9 CSPF: 5 -> 0 -> 4 -> 14 | ACCEPTED
FLOW 9 WEIGHTED: 5 -> 14 | ACCEPTED
FLOW 10 IP: 14 -> 4 -> 8 | ACCEPTED
FLOW 10 CSPF: 14 -> 4 -> 8 | ACCEPTED
