=== LOG DLA 30 FLOWS ===

===== RUN 0 =====
FLOW 0 IP: 13 -> 6 | ACCEPTED
FLOW 15 IP: 11 -> 0 -> 2 -> 14 | ACCEPTED
FLOW 15 CSPF: 11 -> 0 -> 2 -> 14 | ACCEPTED
FLOW 15 WEIGHTED: 11 -> 0 -> 2 -> 14 | ACCEPTED
FLOW 16 IP: 12 -> 8 | ACCEPTED
FLOW 16 CSPF: 12 -> 8 | ACCEPTED
FLOW 16 WEIGHTED: 12 -> 8 | ACCEPTED
FLOW 17 IP: 6 -> 4 -> 9 | ACCEPTED
FLOW 17 CSPF: 6 -> 4 -> 9 | ACCEPTED
FLOW 17 WEIGHTED: 6 -> 4 -> 9 | ACCEPTED
FLOW 18 IP: 7 -> 2 | ACCEPTED
FLOW 18 CSPF: 7 -> 2 | ACCEPTED
FLOW 18 WEIGHTED: 7 -> 2 | ACCEPTED
FLOW 19 IP: 4 -> 11 -> 13 | ACCEPTED
FLOW 19 CSPF: 4 -> 11 -> 13 | ACCEPTED
FLOW 19 WEIGHTED: 4 -> 13 | ACCEPTED
FLOW 20 IP: 0 -> 2 -> 7 | ACCEPTED
FLOW 20 CSPF: 0 -> 2 -> 7 | ACCEPTED
FLOW 20 WEIGHTED: 0 -> 7 | ACCEPTED
FLOW 21 IP: 8 -> 4 -> 10 | ACCEPTED
FLOW 21 CSPF: 8 -> 4 -> 10 | ACCEPTED
FLOW 21 WEIGHTED: 8 -> 9 -> 10 | ACCEPTED
FLOW 22 IP: 5 -> 7 -> 2 | ACCEPTED
FLOW 22 CSPF: NONE | REJECTED
FLOW 22 WEIGHTED: NONE | REJECTED
FLOW 23 IP: 6 -> 14 | ACCEPTED
FLOW 23 CSPF: 6 -> 14 | ACCEPTED
FLOW 23 WEIGHTED: 6 -> 14 | ACCEPTED
FLOW 24 IP: 10 -> 7 | ACCEPTED
FLOW 24 CSPF: 10 -> 7 | ACCEPTED
FLOW 24 WEIGHTED: 10 -> 7 | ACCEPTED
FLOW 25 IP: 5 -> 7 -> 14 -> 6 | ACCEPTED
FLOW 25 CSPF: 5 -> 7 -> 14 -> 6 | ACCEPTED
FLOW 25 WEIGHTED: 5 -> 7 -> 10 -> 6 | ACCEPTED
FLOW 26 IP: 10 -> 4 -> 8 | ACCEPTED
FLOW 26 CSPF: 10 -> 4 -> 8 | ACCEPTED
FLOW 26 WEIGHTED: 10 -> 4 -> 8 | ACCEPTED
FLOW 27 IP: 5 -> 7 -> 1 | ACCEPTED
FLOW 27 CSPF: 5 -> 7 -> 1 | ACCEPTED
FLOW 27 WEIGHTED: 5 -> 7 -> 1 | ACCEPTED
FLOW 28 IP: 3 -> 10 -> 4 | ACCEPTED
FLOW 28 CSPF: 3 -> 10 -> 4 | ACCEPTED
FLOW 28 WEIGHTED: 3 -> 10 -> 4 | ACCEPTED
FLOW 29 IP: 13 -> 11 -> 3 | ACCEPTED
FLOW 29 CSPF: 13 -> 11 -> 3 | ACCEPTED
FLOW 29 WEIGHTED: 13 -> 11 -> 3 | ACCEPTED

===== RUN 5 =====
FLOW 0 IP: 9 -> 4 | ACCEPTED
FLOW 0 CSPF: 9 -> 4 | ACCEPTED
FLOW 0 WEIGHTED: 9 -> 4 | ACCEPTED
FLOW 1 IP: 11 -> 13 | ACCEPTED
FLOW 1 CSPF: 11 -> 13 | ACCEPTED
FLOW 1 WEIGHTED: 11 -> 13 | ACCEPTED
FLOW 2 IP: 13 -> 11 -> 3 -> 7 | ACCEPTED
FLOW 2 CSPF: 13 -> 11 -> 3 -> 7 | ACCEPTED
FLOW 2 WEIGHTED: 13 -> 11 -> 3 -> 7 | ACCEPTED
FLOW 3 IP: 0 -> 2 -> 14 | ACCEPTED
FLOW 3 CSPF: 0 -> 2 -> 14 | ACCEPTED
FLOW 3 WEIGHTED: 0 -> 2 -> 14 | ACCEPTED
FLOW 4 IP: 5 -> 7 | ACCEPTED
FLOW 4 CSPF: 5 -> 7 | ACCEPTED
FLOW 4 WEIGHTED: 5 -> 7 | ACCEPTED
FLOW 5 IP: 8 -> 12 -> 14 -> 1 | ACCEPTED
FLOW 5 CSPF: 8 -> 12 -> 14 -> 1 | ACCEPTED
FLOW 5 WEIGHTED: 8 -> 12 -> 14 -> 1 | ACCEPTED
FLOW 6 IP: 0 -> 11 | ACCEPTED
FLOW 6 CSPF: 0 -> 11 | ACCEPTED
FLOW 6 WEIGHTED: 0 -> 11 | ACCEPTED
FLOW 7 IP: 4 -> 10 -> 3 -> 2 | ACCEPTED
FLOW 7 CSPF: 4 -> 10 -> 3 -> 2 | ACCEPTED
FLOW 7 WEIGHTED: 4 -> 10 -> 3 -> 2 | ACCEPTED
FLOW 8 IP: 12 -> 14 -> 1 | ACCEPTED
FLOW 8 CSPF: 12 -> 14 -> 1 | ACCEPTED
FLOW 8 WEIGHTED: 12 -> 14 -> 6 -> 1 | ACCEPTED
FLOW 9 IP: 9 -> 7 | ACCEPTED
FLOW 9 CSPF: 9 -> 7 | ACCEPTED
FLOW 9 WEIGHTED: 9 -> 7 | ACCEPTED
FLOW 10 IP: 0 -> 11 -> 13 | ACCEPTED
FLOW 10 CSPF: 0 -> 11 -> 13 | ACCEPTED
FLOW 10 WEIGHTED: 0 -> 11 -> 13 | ACCEPTED
FLOW 11 IP: 12 -> 2 -> 3 | ACCEPTED
FLOW 11 CSPF: 12 -> 2 -> 3 | ACCEPTED
FLOW 11 WEIGHTED: 12 -> 2 -> 3 | ACCEPTED
FLOW 12 IP: 2 -> 3 -> 10 -> 4 | ACCEPTED
FLOW 12 CSPF: 2 -> 3 -> 10 -> 4 | ACCEPTED
FLOW 12 WEIGHTED: 2 -> 0 -> 11 -> 4 | ACCEPTED
FLOW 13 IP: 3 -> 2 -> 12 -> 8 | ACCEPTED
FLOW 13 CSPF: 3 -> 2 -> 12 -> 8 | ACCEPTED
FLOW 13 WEIGHTED: 3 -> 2 -> 12 -> 8 | ACCEPTED
FLOW 14 IP: 11 -> 3 | ACCEPTED
FLOW 14 CSPF: 11 -> 3 | ACCEPTED
FLOW 14 WEIGHTED: 11 -> 3 | ACCEPTED
FLOW 15 IP: 0 -> 2 -> 7 -> 5 | ACCEPTED
FLOW 15 CSPF: NONE | REJECTED
FLOW 15 WEIGHTED: NONE | REJECTED
FLOW 16 IP: 14 -> 2 | ACCEPTED
FLOW 16 CSPF: 14 -> 2 | ACCEPTED
FLOW 16 WEIGHTED: 14 -> 2 | ACCEPTED
FLOW 17 IP: 5 -> 7 -> 10 -> 4 | ACCEPTED
FLOW 17 CSPF: 5 -> 7 -> 10 -> 4 | ACCEPTED
FLOW 17 WEIGHTED: 5 -> 7 -> 10 -> 4 | ACCEPTED
FLOW 18 IP: 0 -> 2 -> 9 | ACCEPTED
FLOW 18 CSPF: 0 -> 2 -> 9 | ACCEPTED
FLOW 18 WEIGHTED: 0 -> 2 -> 9 | ACCEPTED
FLOW 19 IP: 4 -> 10 -> 7 -> 5 | ACCEPTED
FLOW 19 CSPF: 4 -> 10 -> 7 -> 5 | ACCEPTED
FLOW 19 WEIGHTED: 4 -> 10 -> 7 -> 5 | ACCEPTED
FLOW 20 IP: 11 -> 3 -> 7 -> 5 | ACCEPTED
FLOW 20 CSPF: 11 -> 3 -> 7 -> 5 | ACCEPTED
FLOW 20 WEIGHTED: 11 -> 3 -> 7 -> 5 | ACCEPTED
FLOW 21 IP: 7 -> 3 -> 11 | ACCEPTED
FLOW 21 CSPF: 7 -> 3 -> 11 | ACCEPTED
FLOW 21 WEIGHTED: 7 -> 0 -> 11 | ACCEPTED
FLOW 22 IP: 4 -> 11 -> 0 | ACCEPTED
FLOW 22 CSPF: 4 -> 11 -> 0 | ACCEPTED
FLOW 22 WEIGHTED: 4 -> 11 -> 0 | ACCEPTED
FLOW 23 IP: 6 -> 13 -> 11 -> 0 | ACCEPTED
FLOW 23 CSPF: 6 -> 13 -> 11 -> 0 | ACCEPTED
FLOW 23 WEIGHTED: 6 -> 14 -> 2 -> 0 | ACCEPTED
FLOW 24 IP: 6 -> 14 -> 7 -> 5 | ACCEPTED
FLOW 24 CSPF: 6 -> 14 -> 7 -> 5 | ACCEPTED
FLOW 24 WEIGHTED: 6 -> 14 -> 7 -> 5 | ACCEPTED
FLOW 25 IP: 13 -> 11 -> 0 | ACCEPTED
FLOW 25 CSPF: 13 -> 11 -> 0 | ACCEPTED
FLOW 25 WEIGHTED: 13 -> 11 -> 0 | ACCEPTED
FLOW 26 IP: 11 -> 0 -> 2 | ACCEPTED
FLOW 26 CSPF: 11 -> 0 -> 2 | ACCEPTED
FLOW 26 WEIGHTED: 11 -> 12 -> 2 | ACCEPTED
FLOW 27 IP: 3 -> 7 -> 1 | ACCEPTED
FLOW 27 CSPF: 3 -> 7 -> 1 | ACCEPTED
FLOW 27 WEIGHTED: 3 -> 7 -> 1 | ACCEPTED
FLOW 28 IP: 13 -> 11 -> 3 -> 7 | ACCEPTED
FLOW 28 CSPF: 13 -> 11 -> 3 -> 7 | ACCEPTED
FLOW 28 WEIGHTED: 13 -> 12 -> 2 -> 7 | ACCEPTED
FLOW 29 IP: 5 -> 7 -> 14 | ACCEPTED
FLOW 29 CSPF: 5 -> 7 -> 14 | ACCEPTED
FLOW 29 WEIGHTED: 5 -> 7 -> 14 | ACCEPTED

===== RUN 6 =====
FLOW 0 IP: 12 -> 2 -> 9 | ACCEPTED
FLOW 0 CSPF: 12 -> 2 -> 9 | ACCEPTED
FLOW 0 WEIGHTED: 12 -> 2 -> 9 | ACCEPTED
FLOW 1 IP: 12 -> 2 -> 3 -> 10 -> 4 | ACCEPTED
FLOW 1 CSPF: NONE | REJECTED
FLOW 1 WEIGHTED: NONE | REJECTED
FLOW 2 IP: 2 -> 3 -> 10 | ACCEPTED
FLOW 2 CSPF: 2 -> 3 -> 10 | ACCEPTED
FLOW 2 WEIGHTED: 2 -> 3 -> 10 | ACCEPTED
FLOW 3 IP: 12 -> 2 -> 0 -> 11 | ACCEPTED
FLOW 3 CSPF: 12 -> 2 -> 0 -> 11 | ACCEPTED
FLOW 3 WEIGHTED: 12 -> 2 -> 0 -> 11 | ACCEPTED
FLOW 4 IP: 12 -> 2 -> 0 | ACCEPTED
FLOW 4 CSPF: 12 -> 2 -> 0 | ACCEPTED
FLOW 4 WEIGHTED: 12 -> 2 -> 0 | ACCEPTED
FLOW 5 IP: 12 -> 2 -> 3 | ACCEPTED
FLOW 5 CSPF: 12 -> 2 -> 3 | ACCEPTED
FLOW 5 WEIGHTED: 12 -> 2 -> 3 | ACCEPTED
FLOW 6 IP: 8 -> 4 -> 10 | ACCEPTED
FLOW 6 CSPF: 8 -> 4 -> 10 | ACCEPTED
FLOW 6 WEIGHTED: 8 -> 4 -> 10 | ACCEPTED
FLOW 7 IP: 9 -> 8 | ACCEPTED
FLOW 7 CSPF: 9 -> 8 | ACCEPTED
FLOW 7 WEIGHTED: 9 -> 8 | ACCEPTED
FLOW 8 IP: 12 -> 2 -> 9 | ACCEPTED
FLOW 8 CSPF: 12 -> 2 -> 9 | ACCEPTED
FLOW 8 WEIGHTED: 12 -> 2 -> 9 | ACCEPTED
FLOW 9 IP: 6 -> 14 -> 7 -> 5 | ACCEPTED
FLOW 9 CSPF: 6 -> 14 -> 7 -> 5 | ACCEPTED
FLOW 9 WEIGHTED: 6 -> 14 -> 7 -> 5 | ACCEPTED
FLOW 10 IP: 12 -> 14 -> 6 | ACCEPTED
FLOW 10 CSPF: 12 -> 14 -> 6 | ACCEPTED
FLOW 10 WEIGHTED: 12 -> 14 -> 6 | ACCEPTED
FLOW 11 IP: 11 -> 13 -> 6 -> 1 | ACCEPTED
FLOW 11 CSPF: 11 -> 13 -> 6 -> 1 | ACCEPTED
FLOW 11 WEIGHTED: 11 -> 13 -> 6 -> 1 | ACCEPTED
FLOW 12 IP: 10 -> 3 -> 2 -> 12 | ACCEPTED
FLOW 12 CSPF: 10 -> 3 -> 2 -> 12 | ACCEPTED
FLOW 12 WEIGHTED: 10 -> 3 -> 12 | ACCEPTED
FLOW 13 IP: 0 -> 2 -> 9 | ACCEPTED
FLOW 13 CSPF: 0 -> 2 -> 9 | ACCEPTED
FLOW 13 WEIGHTED: 0 -> 2 -> 9 | ACCEPTED
FLOW 14 IP: 10 -> 6 -> 14 | ACCEPTED
FLOW 14 CSPF: 10 -> 6 -> 14 | ACCEPTED
FLOW 14 WEIGHTED: 10 -> 6 -> 14 | ACCEPTED
FLOW 15 IP: 14 -> 6 -> 13 | ACCEPTED
FLOW 15 CSPF: 14 -> 6 -> 13 | ACCEPTED
FLOW 15 WEIGHTED: 14 -> 12 -> 13 | ACCEPTED
FLOW 16 IP: 9 -> 4 -> 10 | ACCEPTED
FLOW 16 CSPF: 9 -> 4 -> 10 | ACCEPTED
FLOW 16 WEIGHTED: 9 -> 4 -> 10 | ACCEPTED
FLOW 17 IP: 0 -> 2 -> 3 -> 10 | ACCEPTED
FLOW 17 CSPF: 0 -> 2 -> 3 -> 10 | ACCEPTED
FLOW 17 WEIGHTED: 0 -> 11 -> 10 | ACCEPTED
FLOW 18 IP: 9 -> 4 -> 6 | ACCEPTED
FLOW 18 CSPF: 9 -> 4 -> 6 | ACCEPTED
FLOW 18 WEIGHTED: 9 -> 4 -> 6 | ACCEPTED
FLOW 19 IP: 9 -> 4 -> 6 -> 1 | ACCEPTED
FLOW 19 CSPF: 9 -> 4 -> 6 -> 1 | ACCEPTED
FLOW 19 WEIGHTED: 9 -> 7 -> 1 | ACCEPTED
FLOW 20 IP: 14 -> 6 -> 10 | ACCEPTED
FLOW 20 CSPF: 14 -> 6 -> 10 | ACCEPTED
FLOW 20 WEIGHTED: 14 -> 6 -> 10 | ACCEPTED
FLOW 21 IP: 1 -> 6 -> 4 -> 9 | ACCEPTED
FLOW 21 CSPF: 1 -> 6 -> 4 -> 9 | ACCEPTED
FLOW 21 WEIGHTED: 1 -> 6 -> 4 -> 9 | ACCEPTED
FLOW 22 IP: 11 -> 3 | ACCEPTED
FLOW 22 CSPF: 11 -> 3 | ACCEPTED
FLOW 22 WEIGHTED: 11 -> 3 | ACCEPTED
FLOW 23 IP: 3 -> 2 | ACCEPTED
FLOW 23 CSPF: 3 -> 2 | ACCEPTED
FLOW 23 WEIGHTED: 3 -> 2 | ACCEPTED
FLOW 24 IP: 13 -> 6 -> 14 | ACCEPTED
FLOW 24 CSPF: 13 -> 6 -> 14 | ACCEPTED
FLOW 24 WEIGHTED: 13 -> 12 -> 14 | ACCEPTED
FLOW 25 IP: 3 -> 2 -> 12 | ACCEPTED
FLOW 25 CSPF: 3 -> 2 -> 12 | ACCEPTED
FLOW 25 WEIGHTED: 3 -> 12 | ACCEPTED
FLOW 26 IP: 10 -> 7 -> 5 | ACCEPTED
FLOW 26 CSPF: 10 -> 7 -> 5 | ACCEPTED
FLOW 26 WEIGHTED: 10 -> 7 -> 5 | ACCEPTED
FLOW 27 IP: 10 -> 4 -> 9 | ACCEPTED
FLOW 27 CSPF: 10 -> 4 -> 9 | ACCEPTED
FLOW 27 WEIGHTED: 10 -> 9 | ACCEPTED
FLOW 28 IP: 5 -> 7 -> 14 -> 6 | ACCEPTED
FLOW 28 CSPF: 5 -> 7 -> 14 -> 6 | ACCEPTED
FLOW 28 WEIGHTED: 5 -> 7 -> 14 -> 6 | ACCEPTED
FLOW 29 IP: 4 -> 10 -> 3 -> 2 | ACCEPTED
FLOW 29 CSPF: 4 -> 10 -> 3 -> 2 | ACCEPTED
FLOW 29 WEIGHTED: 4 -> 11 -> 0 -> 2 | ACCEPTED

===== RUN 7 =====
FLOW 0 IP: 5 -> 7 -> 2 | ACCEPTED
FLOW 0 CSPF: 5 -> 7 -> 2 | ACCEPTED
FLOW 0 WEIGHTED: 5 -> 7 -> 2 | ACCEPTED
FLOW 1 IP: 0 -> 2 -> 14 -> 1 | ACCEPTED
FLOW 1 CSPF: 0 -> 2 -> 14 -> 1 | ACCEPTED
FLOW 1 WEIGHTED: 0 -> 2 -> 14 -> 1 | ACCEPTED
FLOW 2 IP: 5 -> 7 -> 9 | ACCEPTED
FLOW 2 CSPF: 5 -> 7 -> 9 | ACCEPTED
FLOW 2 WEIGHTED: 5 -> 7 -> 9 | ACCEPTED
FLOW 3 IP: 8 -> 12 -> 2 -> 3 | ACCEPTED
FLOW 3 CSPF: 8 -> 12 -> 2 -> 3 | ACCEPTED
FLOW 3 WEIGHTED: 8 -> 12 -> 2 -> 3 | ACCEPTED
FLOW 4 IP: 6 -> 1 | ACCEPTED
FLOW 4 CSPF: 6 -> 1 | ACCEPTED
FLOW 4 WEIGHTED: 6 -> 1 | ACCEPTED
FLOW 5 IP: 8 -> 12 -> 14 -> 6 | ACCEPTED
FLOW 5 CSPF: 8 -> 12 -> 14 -> 6 | ACCEPTED
FLOW 5 WEIGHTED: 8 -> 12 -> 14 -> 6 | ACCEPTED
FLOW 6 IP: 9 -> 4 -> 6 -> 1 | ACCEPTED
FLOW 6 CSPF: 9 -> 4 -> 6 -> 1 | ACCEPTED
FLOW 6 WEIGHTED: 9 -> 4 -> 6 -> 1 | ACCEPTED
FLOW 7 IP: 10 -> 4 -> 9 | ACCEPTED
FLOW 7 CSPF: 10 -> 4 -> 9 | ACCEPTED
FLOW 7 WEIGHTED: 10 -> 4 -> 9 | ACCEPTED
FLOW 8 IP: 9 -> 4 -> 6 | ACCEPTED
FLOW 8 CSPF: 9 -> 4 -> 6 | ACCEPTED
FLOW 8 WEIGHTED: 9 -> 4 -> 6 | ACCEPTED
FLOW 9 IP: 0 -> 2 -> 12 -> 8 | ACCEPTED
FLOW 9 CSPF: 0 -> 2 -> 12 -> 8 | ACCEPTED
FLOW 9 WEIGHTED: 0 -> 2 -> 12 -> 8 | ACCEPTED
FLOW 10 IP: 6 -> 14 -> 2 | ACCEPTED
FLOW 10 CSPF: 6 -> 14 -> 2 | ACCEPTED
FLOW 10 WEIGHTED: 6 -> 14 -> 12 -> 2 | ACCEPTED
FLOW 11 IP: 9 -> 4 | ACCEPTED
FLOW 11 CSPF: 9 -> 4 | ACCEPTED
FLOW 11 WEIGHTED: 9 -> 4 | ACCEPTED
FLOW 12 IP: 10 -> 3 -> 2 | ACCEPTED
FLOW 12 CSPF: 10 -> 3 -> 2 | ACCEPTED
FLOW 12 WEIGHTED: 10 -> 3 -> 2 | ACCEPTED
FLOW 13 IP: 9 -> 4 -> 10 | ACCEPTED
FLOW 13 CSPF: 9 -> 4 -> 10 | ACCEPTED
FLOW 13 WEIGHTED: 9 -> 10 | ACCEPTED
FLOW 14 IP: 1 -> 14 -> 12 -> 8 | ACCEPTED
FLOW 14 CSPF: 1 -> 14 -> 12 -> 8 | ACCEPTED
FLOW 14 WEIGHTED: 1 -> 14 -> 12 -> 8 | ACCEPTED
FLOW 15 IP: 0 -> 2 -> 9 | ACCEPTED
FLOW 15 CSPF: 0 -> 2 -> 9 | ACCEPTED
FLOW 15 WEIGHTED: 0 -> 2 -> 9 | ACCEPTED
FLOW 16 IP: 10 -> 4 -> 8 | ACCEPTED
FLOW 16 CSPF: 10 -> 4 -> 8 | ACCEPTED
FLOW 16 WEIGHTED: 10 -> 4 -> 8 | ACCEPTED
FLOW 17 IP: 5 -> 7 | ACCEPTED
FLOW 17 CSPF: 5 -> 7 | ACCEPTED
FLOW 17 WEIGHTED: 5 -> 7 | ACCEPTED
FLOW 18 IP: 7 -> 5 | ACCEPTED
FLOW 18 CSPF: 7 -> 5 | ACCEPTED
FLOW 18 WEIGHTED: 7 -> 5 | ACCEPTED
FLOW 19 IP: 12 -> 2 | ACCEPTED
FLOW 19 CSPF: 12 -> 2 | ACCEPTED
FLOW 19 WEIGHTED: 12 -> 2 | ACCEPTED
FLOW 20 IP: 9 -> 4 | ACCEPTED
FLOW 20 CSPF: 9 -> 4 | ACCEPTED
FLOW 20 WEIGHTED: 9 -> 4 | ACCEPTED
FLOW 21 IP: 14 -> 7 -> 5 | ACCEPTED
FLOW 21 CSPF: 14 -> 7 -> 5 | ACCEPTED
FLOW 21 WEIGHTED: 14 -> 7 -> 5 | ACCEPTED
FLOW 22 IP: 9 -> 4 -> 6 -> 1 | ACCEPTED
FLOW 22 CSPF: 9 -> 4 -> 6 -> 1 | ACCEPTED
FLOW 22 WEIGHTED: 9 -> 7 -> 1 | ACCEPTED
FLOW 23 IP: 6 -> 14 -> 2 | ACCEPTED
FLOW 23 CSPF: 6 -> 14 -> 2 | ACCEPTED
FLOW 23 WEIGHTED: 6 -> 14 -> 2 | ACCEPTED
FLOW 24 IP: 14 -> 7 | ACCEPTED
FLOW 24 CSPF: 14 -> 7 | ACCEPTED
FLOW 24 WEIGHTED: 14 -> 7 | ACCEPTED
FLOW 25 IP: 10 -> 6 -> 1 | ACCEPTED
FLOW 25 CSPF: 10 -> 6 -> 1 | ACCEPTED
FLOW 25 WEIGHTED: 10 -> 6 -> 1 | ACCEPTED
FLOW 26 IP: 12 -> 14 | ACCEPTED
FLOW 26 CSPF: 12 -> 14 | ACCEPTED
FLOW 26 WEIGHTED: 12 -> 14 | ACCEPTED
FLOW 27 IP: 11 -> 3 -> 7 -> 5 | ACCEPTED
FLOW 27 CSPF: 11 -> 3 -> 7 -> 5 | ACCEPTED
FLOW 27 WEIGHTED: 11 -> 3 -> 7 -> 5 | ACCEPTED
FLOW 28 IP: 9 -> 2 -> 12 | ACCEPTED
FLOW 28 CSPF: 9 -> 2 -> 12 | ACCEPTED
FLOW 28 WEIGHTED: 9 -> 2 -> 12 | ACCEPTED
FLOW 29 IP: 13 -> 6 -> 1 | ACCEPTED
FLOW 29 CSPF: 13 -> 6 -> 1 | ACCEPTED
FLOW 29 WEIGHTED: 13 -> 6 -> 1 | ACCEPTED

===== RUN 8 =====
FLOW 0 IP: 3 -> 7 -> 5 | ACCEPTED
FLOW 0 CSPF: 3 -> 7 -> 5 | ACCEPTED
FLOW 0 WEIGHTED: 3 -> 7 -> 5 | ACCEPTED
FLOW 1 IP: 3 -> 11 | ACCEPTED
FLOW 1 CSPF: 3 -> 11 | ACCEPTED
FLOW 1 WEIGHTED: 3 -> 11 | ACCEPTED
FLOW 2 IP: 2 -> 3 | ACCEPTED
FLOW 2 CSPF: 2 -> 3 | ACCEPTED
FLOW 2 WEIGHTED: 2 -> 3 | ACCEPTED
FLOW 3 IP: 6 -> 10 | ACCEPTED
FLOW 3 CSPF: 6 -> 10 | ACCEPTED
FLOW 3 WEIGHTED: 6 -> 10 | ACCEPTED
FLOW 4 IP: 7 -> 14 -> 6 | ACCEPTED
FLOW 4 CSPF: 7 -> 14 -> 6 | ACCEPTED
FLOW 4 WEIGHTED: 7 -> 14 -> 6 | ACCEPTED
FLOW 5 IP: 3 -> 2 -> 14 | ACCEPTED
FLOW 5 CSPF: 3 -> 2 -> 14 | ACCEPTED
FLOW 5 WEIGHTED: 3 -> 2 -> 14 | ACCEPTED
FLOW 6 IP: 7 -> 3 | ACCEPTED
FLOW 6 CSPF: 7 -> 3 | ACCEPTED
FLOW 6 WEIGHTED: 7 -> 3 | ACCEPTED
FLOW 7 IP: 4 -> 8 | ACCEPTED
FLOW 7 CSPF: 4 -> 8 | ACCEPTED
FLOW 7 WEIGHTED: 4 -> 8 | ACCEPTED
FLOW 8 IP: 14 -> 6 | ACCEPTED
FLOW 8 CSPF: 14 -> 6 | ACCEPTED
FLOW 8 WEIGHTED: 14 -> 6 | ACCEPTED
FLOW 9 IP: 4 -> 6 -> 1 | ACCEPTED
FLOW 9 CSPF: 4 -> 6 -> 1 | ACCEPTED
FLOW 9 WEIGHTED: 4 -> 6 -> 1 | ACCEPTED
FLOW 10 IP: 9 -> 4 -> 11 -> 13 | ACCEPTED
FLOW 10 CSPF: 9 -> 4 -> 11 -> 13 | ACCEPTED
FLOW 10 WEIGHTED: 9 -> 4 -> 11 -> 13 | ACCEPTED
FLOW 11 IP: 10 -> 3 -> 2 -> 0 | ACCEPTED
FLOW 11 CSPF: 10 -> 3 -> 2 -> 0 | ACCEPTED
FLOW 11 WEIGHTED: 10 -> 3 -> 2 -> 0 | ACCEPTED
FLOW 12 IP: 11 -> 13 -> 6 -> 1 | ACCEPTED
FLOW 12 CSPF: 11 -> 13 -> 6 -> 1 | ACCEPTED
FLOW 12 WEIGHTED: 11 -> 13 -> 6 -> 1 | ACCEPTED
FLOW 13 IP: 10 -> 4 -> 8 | ACCEPTED
FLOW 13 CSPF: 10 -> 4 -> 8 | ACCEPTED
FLOW 13 WEIGHTED: 10 -> 9 -> 8 | ACCEPTED
FLOW 14 IP: 12 -> 2 | ACCEPTED
FLOW 14 CSPF: 12 -> 2 | ACCEPTED
FLOW 14 WEIGHTED: 12 -> 2 | ACCEPTED
FLOW 15 IP: 8 -> 12 -> 2 -> 0 | ACCEPTED
FLOW 15 CSPF: 8 -> 12 -> 2 -> 0 | ACCEPTED
FLOW 15 WEIGHTED: 8 -> 12 -> 2 -> 0 | ACCEPTED
FLOW 16 IP: 3 -> 2 | ACCEPTED
FLOW 16 CSPF: 3 -> 2 | ACCEPTED
FLOW 16 WEIGHTED: 3 -> 2 | ACCEPTED
FLOW 17 IP: 11 -> 4 -> 9 | ACCEPTED
FLOW 17 CSPF: 11 -> 4 -> 9 | ACCEPTED
FLOW 17 WEIGHTED: 11 -> 9 | ACCEPTED
FLOW 18 IP: 8 -> 12 -> 2 -> 7 -> 5 | ACCEPTED
FLOW 18 CSPF: NONE | REJECTED
FLOW 18 WEIGHTED: NONE | REJECTED
FLOW 19 IP: 2 -> 12 | ACCEPTED
FLOW 19 CSPF: 2 -> 12 | ACCEPTED
FLOW 19 WEIGHTED: 2 -> 12 | ACCEPTED
FLOW 20 IP: 8 -> 11 | ACCEPTED
FLOW 20 CSPF: 8 -> 11 | ACCEPTED
FLOW 20 WEIGHTED: 8 -> 11 | ACCEPTED
FLOW 21 IP: 5 -> 7 -> 10 | ACCEPTED
FLOW 21 CSPF: 5 -> 7 -> 10 | ACCEPTED
FLOW 21 WEIGHTED: 5 -> 7 -> 10 | ACCEPTED
FLOW 22 IP: 9 -> 4 -> 10 -> 3 | ACCEPTED
FLOW 22 CSPF: 9 -> 4 -> 10 -> 3 | ACCEPTED
FLOW 22 WEIGHTED: 9 -> 4 -> 10 -> 3 | ACCEPTED
FLOW 23 IP: 5 -> 7 -> 2 -> 12 -> 8 | ACCEPTED
FLOW 23 CSPF: 5 -> 7 -> 2 -> 12 -> 8 | ACCEPTED
FLOW 23 WEIGHTED: 5 -> 7 -> 2 -> 12 -> 8 | ACCEPTED
FLOW 24 IP: 10 -> 6 -> 1 | ACCEPTED
FLOW 24 CSPF: 10 -> 6 -> 1 | ACCEPTED
FLOW 24 WEIGHTED: 10 -> 6 -> 1 | ACCEPTED
FLOW 25 IP: 11 -> 8 | ACCEPTED
FLOW 25 CSPF: 11 -> 8 | ACCEPTED
FLOW 25 WEIGHTED: 11 -> 8 | ACCEPTED
FLOW 26 IP: 3 -> 2 -> 14 | ACCEPTED
FLOW 26 CSPF: 3 -> 2 -> 14 | ACCEPTED
FLOW 26 WEIGHTED: 3 -> 12 -> 14 | ACCEPTED
FLOW 27 IP: 5 -> 7 -> 3 | ACCEPTED
FLOW 27 CSPF: NONE | REJECTED
FLOW 27 WEIGHTED: NONE | REJECTED
FLOW 28 IP: 6 -> 4 | ACCEPTED
FLOW 28 CSPF: 6 -> 4 | ACCEPTED
FLOW 28 WEIGHTED: 6 -> 4 | ACCEPTED
FLOW 29 IP: 13 -> 11 | ACCEPTED
FLOW 29 CSPF: 13 -> 11 | ACCEPTED
FLOW 29 WEIGHTED: 13 -> 11 | ACCEPTED

===== RUN 9 =====
FLOW 0 IP: 7 -> 9 | ACCEPTED
FLOW 0 CSPF: 7 -> 9 | ACCEPTED
