=== LOG DLA 90 FLOWS ===

===== RUN 0 =====
FLOW 78 IP: 9 -> 4 -> 10 -> 3 | ACCEPTED
FLOW 78 CSPF: 9 -> 4 -> 10 -> 3 | ACCEPTED
FLOW 78 WEIGHTED: 9 -> 7 -> 3 | ACCEPTED
FLOW 79 IP: 3 -> 10 | ACCEPTED
FLOW 79 CSPF: 3 -> 10 | ACCEPTED
FLOW 79 WEIGHTED: 3 -> 10 | ACCEPTED
FLOW 80 IP: 11 -> 0 -> 2 -> 14 | ACCEPTED
FLOW 80 CSPF: 11 -> 0 -> 2 -> 14 | ACCEPTED
FLOW 80 WEIGHTED: 11 -> 12 -> 14 | ACCEPTED
FLOW 81 IP: 6 -> 13 -> 11 -> 0 | ACCEPTED
FLOW 81 CSPF: 6 -> 13 -> 11 -> 0 | ACCEPTED
FLOW 81 WEIGHTED: 6 -> 14 -> 2 -> 0 | ACCEPTED
FLOW 82 IP: 11 -> 4 -> 9 | ACCEPTED
FLOW 82 CSPF: 11 -> 4 -> 9 | ACCEPTED
FLOW 82 WEIGHTED: 11 -> 9 | ACCEPTED
FLOW 83 IP: 10 -> 3 -> 11 | ACCEPTED
FLOW 83 CSPF: 10 -> 3 -> 11 | ACCEPTED
FLOW 83 WEIGHTED: 10 -> 11 | ACCEPTED
FLOW 84 IP: 7 -> 1 | ACCEPTED
FLOW 84 CSPF: 7 -> 1 | ACCEPTED
FLOW 84 WEIGHTED: 7 -> 1 | ACCEPTED
FLOW 85 IP: 2 -> 7 | ACCEPTED
FLOW 85 CSPF: 2 -> 7 | ACCEPTED
FLOW 85 WEIGHTED: 2 -> 7 | ACCEPTED
FLOW 86 IP: 7 -> 14 | ACCEPTED
FLOW 86 CSPF: 7 -> 14 | ACCEPTED
FLOW 86 WEIGHTED: 7 -> 14 | ACCEPTED
FLOW 87 IP: 12 -> 2 -> 0 | ACCEPTED
FLOW 87 CSPF: 12 -> 2 -> 0 | ACCEPTED
FLOW 87 WEIGHTED: 12 -> 2 -> 0 | ACCEPTED
FLOW 88 IP: 5 -> 7 -> 10 -> 4 | REJECTED
FLOW 88 CSPF: NONE | REJECTED
FLOW 88 WEIGHTED: NONE | REJECTED
FLOW 89 IP: 12 -> 13 | ACCEPTED
FLOW 89 CSPF: 12 -> 13 | ACCEPTED
FLOW 89 WEIGHTED: 12 -> 13 | ACCEPTED

===== RUN 1 =====
FLOW 0 IP: 2 -> 9 | ACCEPTED
FLOW 0 CSPF: 2 -> 9 | ACCEPTED
FLOW 0 WEIGHTED: 2 -> 9 | ACCEPTED
FLOW 1 IP: 1 -> 7 | ACCEPTED
FLOW 1 CSPF: 1 -> 7 | ACCEPTED
FLOW 1 WEIGHTED: 1 -> 7 | ACCEPTED
FLOW 2 IP: 10 -> 6 | ACCEPTED
FLOW 2 CSPF: 10 -> 6 | ACCEPTED
FLOW 2 WEIGHTED: 10 -> 6 | ACCEPTED
FLOW 3 IP: 7 -> 2 -> 0 | ACCEPTED
FLOW 3 CSPF: 7 -> 2 -> 0 | ACCEPTED
FLOW 3 WEIGHTED: 7 -> 2 -> 0 | ACCEPTED
FLOW 4 IP: 9 -> 2 -> 12 | ACCEPTED
FLOW 4 CSPF: 9 -> 2 -> 12 | ACCEPTED
