n_flows,run_idx,seed,ip_acceptance,cspf_acceptance,weighted_acceptance,ip_avg_delay,cspf_avg_delay,weighted_avg_delay,ip_avg_util,ip_max_util,cspf_avg_util,cspf_max_util,weighted_avg_util,weighted_max_util,ip_rejected,cspf_rejected,weighted_rejected
90,18,1774984804,0.26666666666666666,0.26666666666666666,0.3111111111111111,11.699486531795946,12.23687231480685,11.182124530298394,0.895772304288647,1.0,0.8973975474985182,1.0,0.9208580137690756,1.0,66,66,62
90,19,1774984805,0.3,0.3,0.3,9.9961185504733,10.068313776624574,10.249683524585611,0.7956942425793744,1.0,0.8462861687282296,0.9893617021276596,0.849707378060769,0.9893617021276596,63,63,63
90,20,1774984806,0.3,0.3,0.28888888888888886,10.909221096930171,11.094332080438985,11.12093384868807,0.7767390505544681,1.0,0.8377462096156931,1.0,0.8200558839072947,1.0,63,63,64
90,21,1774984807,0.3,0.3111111111111111,0.3,10.471127358395947,10.68304936977575,10.137043128969708,0.8121453758416509,1.0,0.8275287486707381,1.0,0.7990656889103315,1.0,63,62,63
90,22,1774984808,0.24444444444444444,0.24444444444444444,0.24444444444444444,10.628623552340057,10.34306776699198,10.34306776699198,0.7491016958769694,1.0,0.7331310887015714,1.0,0.7335894870958206,1.0,68,68,68
90,23,1774984809,0.32222222222222224,0.2777777777777778,0.2777777777777778,10.648900007158618,10.15676101186716,10.15676101186716,0.8352571406661369,0.9838709677419355,0.7674381343460681,0.9838709677419355,0.7674381343460681,0.9838709677419355,61,65,65
90,24,1774984810,0.32222222222222224,0.28888888888888886,0.3,11.301976162154919,9.440424703875905,10.13886497907322,0.8472764034280366,1.0,0.6985805795151935,0.9428571428571428,0.7293818340575255,0.9714285714285714,61,64,63
90,25,1774984811,0.34444444444444444,0.3,0.3,9.991992693683535,10.998740305725947,11.04511913485012,0.776361259137864,0.9887640449438202,0.8976063136704165,1.0,0.9097753645232556,1.0,59,63,63
90,26,1774984812,0.2777777777777778,0.24444444444444444,0.26666666666666666,10.86094853558612,12.256218008850665,10.375442704853233,0.7452394274574883,0.98989898989899,0.80387931460561,1.0,0.7367893305111194,0.98989898989899,65,68,66
90,27,1774984813,0.32222222222222224,0.3111111111111111,0.3111111111111111,10.546570085365161,10.718303603907717,10.718303603907717,0.928266593978073,1.0,0.8802304793736163,1.0,0.8802304793736163,1.0,61,62,62
90,28,1774984814,0.32222222222222224,0.34444444444444444,0.34444444444444444,11.582166853691444,10.484186882205242,10.465940891076409,0.8218736462924361,1.0,0.8245166836121369,1.0,0.8170726682318684,1.0,61,59,59
90,29,1774984815,0.3333333333333333,0.3111111111111111,0.32222222222222224,10.661093810873018,10.999567189663134,11.096746874412096,0.8962183563113805,1.0,0.8602336731990877,1.0,0.8711734558049826,1.0,60,62,61
